"Anio","Mes","Dia","latitude","longitude","Altitud","T","TM","Tm","SLP","H","PP","VV","V","VM","VG","RA","SN","TS","FG"
"2020.0","2.0","19.0","-13.55","-71.98","3248.0","13.2","21.0","7.0","","64.0","0.0","10.0","7.6","29.4","","","","",""
"2020.0","2.0","20.0","-13.55","-71.98","3248.0","14.1","19.0","10.0","","60.0","","10.0","8.9","24.1","","0.0","","",""
"2020.0","2.0","21.0","-13.55","-71.98","3248.0","11.5","14.1","10.0","","76.0","3.05","8.9","5.2","11.1","","0.0","","",""
"2020.0","2.0","22.0","-13.55","-71.98","3248.0","12.7","","","","","","","","","","0.0","","",""
"2020.0","2.0","23.0","-13.55","-71.98","3248.0","14.8","","","","","","","","","","0.0","","",""
"2020.0","2.0","24.0","-13.55","-71.98","3248.0","13.9","","","","","","","","","","0.0","","",""
"2020.0","2.0","25.0","-13.55","-71.98","3248.0","14.0","20.1","9.8","","66.0","5.08","9.5","5.7","20.6","","0.0","","",""
"2020.0","2.0","26.0","-13.55","-71.98","3248.0","13.8","19.0","10.5","","61.0","0.0","10.0","7.0","22.2","25.9","","","",""
"2020.0","2.0","27.0","-13.55","-71.98","3248.0","13.4","19.4","9.8","","67.0","5.08","9.5","8.0","33.5","","0.0","","",""
"2020.0","2.0","28.0","-13.55","-71.98","3248.0","14.2","","","","","","","","","","0.0","","",""
"2020.0","2.0","29.0","-13.55","-71.98","3248.0","14.4","","","","","","","","","","0.0","","",""
"2020.0","3.0","0.0","-13.55","-71.98","3248.0","14.4","20.3","8.7","","56.4","100.83","9.9","7.9","22.3","","13.0","0.0","1.0","0.0"
"2020.0","3.0","1.0","-13.55","-71.98","3248.0","14.4","22.0","10.0","","61.0","1.02","10.0","9.1","31.7","","0.0","","",""
"2020.0","3.0","2.0","-13.55","-71.98","3248.0","15.2","23.0","10.4","","53.0","0.0","10.0","8.3","24.1","","","","",""
"2020.0","3.0","3.0","-13.55","-71.98","3248.0","13.9","21.0","9.0","","62.0","9.91","10.0","8.5","25.9","","0.0","","",""
"2020.0","3.0","4.0","-13.55","-71.98","3248.0","13.7","","","","","","","","","","","","",""
"2020.0","3.0","5.0","-13.55","-71.98","3248.0","13.6","","","","","","","","","","0.0","","",""
"2020.0","3.0","6.0","-13.55","-71.98","3248.0","14.1","","","","","","","","","","","","",""
"2020.0","3.0","7.0","-13.55","-71.98","3248.0","13.4","21.0","7.8","","57.0","","10.0","6.1","24.1","","0.0","","",""
"2020.0","3.0","8.0","-13.55","-71.98","3248.0","14.2","21.0","8.8","","53.0","0.25","10.0","9.8","24.1","40.7","0.0","","",""
"2020.0","3.0","9.0","-13.55","-71.98","3248.0","13.6","21.0","8.0","","54.0","0.0","10.0","7.0","20.6","","0.0","","",""
"2020.0","3.0","10.0","-13.55","-71.98","3248.0","12.6","","","","","","","","","","0.0","","",""
"2020.0","3.0","11.0","-13.55","-71.98","3248.0","12.7","","","","","","","","","","0.0","","",""
"2020.0","3.0","12.0","-13.55","-71.98","3248.0","13.9","","","","","","","","","","","","",""
"2020.0","3.0","13.0","-13.55","-71.98","3248.0","13.5","18.0","7.0","","57.0","0.0","10.0","7.8","16.5","","","","",""
